,0,1,2,3,4,5,6,7,8,9
0,1.2470420488016e-311,1.72276e-319,1.2470419702333e-311,1.247042048841e-311,1.7247e-319,1.2470419702174e-311,1.2470420530703e-311,1.72473e-319,1.2470419702016e-311,1.24704205311e-311
1,1.7248e-319,1.247041970186e-311,1.2470420531493e-311,1.8213e-319,1.247041971103e-311,1.2470420707697e-311,1.82147e-319,1.24704197017e-311,1.2470420488806e-311,1.8215e-319
2,1.247041970154e-311,1.24704204892e-311,1.834e-319,1.2470419701384e-311,1.2470420490387e-311,1.83407e-319,1.2470419701226e-311,1.247042049078e-311,1.8638e-319,1.247041971087e-311
3,1.247042076809e-311,1.84667e-319,1.247041970107e-311,1.247042049118e-311,1.8467e-319,1.247041970091e-311,1.247042070833e-311,1.84677e-319,1.247041970075e-311,1.2470420708646e-311
4,1.8468e-319,1.2470419700593e-311,1.2470420491573e-311,1.84687e-319,1.2470419700435e-311,1.247042049197e-311,1.8469e-319,1.2470419700277e-311,1.247042070896e-311,1.84697e-319
5,1.3,1.3,1.3,2.3,2.5,1.7000000000000002,1.3,2.6,1.7000000000000002,2.0
6,0.8999999999999999,1.9,1.3,1.5,1.5,1.9,1.7000000000000002,1.9,1.3,2.0
7,2.1999999999999997,2.4,3.5999999999999996,4.0,3.1,2.1,3.0,2.1,2.9000000000000004,2.6
8,1.3,2.9000000000000004,1.6,2.1,2.6,1.7999999999999998,2.1,1.5,2.1999999999999997,1.5
9,0.1,0.0,0.0,0.2,0.1,0.0,0.2,0.0,0.0,0.3
