,0,1,2,3,4,5,6,7,8,9
0,1.847e-319,1.247041969996e-311,1.247041679596e-311,1.84706e-319,1.2470419699803e-311,1.2470420709594e-311,1.8471e-319,1.2470419699645e-311,1.247042070991e-311,1.8476e-319
1,1.2470419699487e-311,1.247042075892e-311,1.85275e-319,1.247041969933e-311,1.2470420711175e-311,1.85324e-319,1.247041969917e-311,1.247042071149e-311,1.85373e-319,1.2470419699012e-311
2,1.2470420758605e-311,1.8538e-319,1.2470419698854e-311,1.247042053189e-311,1.85383e-319,1.2470419698696e-311,1.247042049355e-311,2.0237e-319,1.247041970771e-311,1.247042071497e-311
3,2.02374e-319,1.247041969854e-311,1.2470420715286e-311,2.0238e-319,1.247041969838e-311,1.247042075829e-311,2.02384e-319,1.247041969822e-311,1.2470420757973e-311,2.0239e-319
4,1.2470419698064e-311,1.2470420494735e-311,2.02394e-319,1.247041971071e-311,1.247041889317e-311,2.04953e-319,1.2470419697906e-311,1.2470420716234e-311,2.0496e-319,1.247041969775e-311
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,1.4000000000000001,0.6,0.7000000000000001,1.0999999999999999,1.2,0.8999999999999999
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
